wavelength,scan1-2,scan2-2,absorbance2,scan1-4,scan2-4,absorbance4
3251.2556,0.05208,0.05877,0.055425,0.03994,0.04119,0.040565
3249.19523,0.04994,0.05662,0.05328,0.03841,0.03987,0.03914
3247.13487,0.04793,0.05448,0.051205,0.03689,0.0386,0.037745
3245.0745,0.04595,0.05243,0.04919,0.03552,0.03724,0.03638
3243.01414,0.0441,0.05052,0.04731,0.03432,0.03594,0.03513
3240.95377,0.04235,0.04873,0.04554,0.03327,0.03494,0.034105
3238.89341,0.04079,0.04712,0.043955,0.03232,0.03405,0.033185
3236.83304,0.03952,0.04567,0.042595,0.03138,0.03299,0.032185
3234.77268,0.03837,0.04433,0.04135,0.0305,0.03191,0.031205
3232.71231,0.03723,0.04314,0.040185,0.02968,0.03105,0.030365
3230.65195,0.03607,0.04199,0.03903,0.02887,0.0303,0.029585
3228.59158,0.03503,0.04098,0.038005,0.02805,0.02947,0.02876
3226.53122,0.03427,0.0403,0.037285,0.0273,0.02868,0.02799
3224.47085,0.03377,0.03977,0.03677,0.02674,0.02812,0.02743
3222.41049,0.03341,0.03924,0.036325,0.02626,0.02766,0.02696
3220.35013,0.03307,0.03882,0.035945,0.02571,0.02715,0.02643
3218.28976,0.03269,0.03841,0.03555,0.0252,0.02662,0.02591
3216.2294,0.0323,0.03794,0.03512,0.02485,0.02618,0.025515
3214.16903,0.03197,0.03748,0.034725,0.02467,0.0259,0.025285
3212.10867,0.03163,0.03703,0.03433,0.02454,0.02568,0.02511
3210.0483,0.03123,0.03663,0.03393,0.02438,0.02543,0.024905
